[08-08-18 17:37:08.717] LSM_raw: 	-0.58	-0.32	9.63	0.26	0.04	2.91	9.97	7.87	14.29
[08-08-18 17:37:08.717] MPU_raw: 	0.01	0.03	9.36	0.01	-0.01	-0.02	17.70	19.80	-15.60
[08-08-18 17:37:08.717] MPU_ypr: 	0.49	-0.01	11.29
[08-08-18 17:37:08.717] LSM_raw: 	-0.55	-0.29	9.78	-0.68	-1.35	2.71	9.93	7.85	14.31
[08-08-18 17:37:08.717] MPU_raw: 	-0.03	0.06	9.43	0.01	0.01	-0.02	17.70	19.80	-15.60
[08-08-18 17:37:08.717] MPU_ypr: 	0.49	0.00	11.28
[08-08-18 17:37:08.717] LSM_raw: 	-0.56	-0.32	9.80	-0.06	-0.23	1.79	9.97	7.90	14.32
[08-08-18 17:37:08.717] MPU_raw: 	-0.06	0.09	9.57	0.02	0.00	-0.03	17.70	19.80	-15.60
[08-08-18 17:37:08.717] MPU_ypr: 	0.48	0.02	11.27
[08-08-18 17:37:08.717] LSM_raw: 	-0.60	-0.40	9.88	-0.72	-0.38	3.14	9.92	7.79	14.36
[08-08-18 17:37:08.848] MPU_raw: 	0.05	0.14	9.61	0.02	-0.01	-0.01	17.70	19.80	-15.60
[08-08-18 17:37:08.848] MPU_ypr: 	0.48	0.03	11.28
[08-08-18 17:37:08.848] LSM_raw: 	-0.59	-0.37	9.70	0.85	1.12	2.94	9.94	7.84	14.27
[08-08-18 17:37:08.848] MPU_raw: 	0.00	0.11	9.43	0.01	-0.02	-0.01	17.70	19.80	-15.60
[08-08-18 17:37:08.848] MPU_ypr: 	0.49	0.02	11.28
[08-08-18 17:37:08.848] LSM_raw: 	-0.60	-0.35	9.68	0.37	1.02	3.20	10.00	7.92	13.95
[08-08-18 17:37:08.848] MPU_raw: 	0.02	0.09	9.48	0.01	-0.03	-0.01	17.70	19.80	-15.60
[08-08-18 17:37:08.848] MPU_ypr: 	0.49	0.01	11.29
[08-08-18 17:37:08.848] LSM_raw: 	-0.64	-0.33	9.70	0.79	1.10	2.91	10.00	7.92	13.48
[08-08-18 17:37:08.848] MPU_raw: 	0.00	0.06	9.44	0.01	-0.03	-0.01	17.10	21.90	-15.60
[08-08-18 17:37:08.848] MPU_ypr: 	0.48	-0.02	11.30
[08-08-18 17:37:08.848] LSM_raw: 	-0.60	-0.31	9.79	-0.16	-0.21	2.63	9.98	7.95	13.48
