8.64	-6.10	41.75
8.64	-6.10	41.75
8.64	-6.10	41.75
8.61	-6.10	41.83
8.61	-6.10	41.83
8.55	-6.14	41.53
8.55	-6.14	41.53
8.55	-6.14	41.53
8.58	-6.22	41.36
8.58	-6.22	41.36
8.58	-6.22	41.36
8.61	-6.22	41.60
8.61	-6.22	41.60
8.55	-6.12	40.99
8.55	-6.12	40.99
8.55	-6.12	40.99
8.72	-6.7	41.63
8.72	-6.7	41.63
8.72	-6.7	41.63
8.59	-6.1	42.1
8.59	-6.1	42.1
8.56	-6.17	41.47
8.56	-6.17	41.47
8.56	-6.17	41.47
8.70	-6.9	41.33
8.70	-6.9	41.33
8.70	-6.9	41.33
8.64	-6.11	41.9
8.64	-6.11	41.9
8.62	-6.8	41.48
8.62	-6.8	41.48
8.62	-6.8	41.48
8.60	-6.29	41.53
8.60	-6.29	41.53
8.60	-6.29	41.53
8.57	-6.13	41.55
8.57	-6.13	41.55
8.61	-6.4	41.53
8.61	-6.4	41.53
8.61	-6.4	41.53
8.56	-6.9	41.53
8.56	-6.9	41.53
8.56	-6.9	41.53
8.55	-6.11	41.37
8.55	-6.11	41.37
8.55	-6.23	41.49
8.55	-6.23	41.49
8.55	-6.23	41.49
8.61	-6.18	41.71
8.61	-6.18	41.71
8.61	-6.18	41.71
8.62	-6.14	41.64
8.62	-6.14	41.64
8.62	-6.17	41.64
8.54	-6.17	41.64
8.54	-6.17	41.64
8.55	-6.11	41.56
8.55	-6.11	41.56
8.55	-6.11	41.56
8.69	-6.19	41.58
8.69	-6.19	41.58
8.69	-6.19	40.82
8.61	-6.19	40.82
8.61	-6.19	40.82
8.48	-6.9	41.49
8.48	-6.9	41.49
8.48	-6.9	41.49
8.67	-6.14	41.52
8.67	-6.14	41.52
8.67	-6.16	41.86
8.67	-6.16	41.86
8.67	-6.16	41.86
8.64	-6.12	41.14
8.64	-6.12	41.14
8.64	-6.12	41.14
8.58	-6.23	41.0
8.58	-6.23	41.0
8.58	-6.17	41.58
8.61	-6.17	41.58
8.61	-6.17	41.58
8.55	-6.23	41.13
8.55	-6.23	41.13
8.55	-6.23	41.13
8.56	-6.20	41.48
8.56	-6.20	41.48
8.56	-6.8	41.43
8.60	-6.8	41.43
8.60	-6.8	41.43
8.65	-6.16	41.60
8.65	-6.16	41.60
8.65	-6.16	41.60
8.50	-6.5	41.67
8.50	-6.5	41.67
8.50	-6.15	41.70
8.59	-6.15	41.70
8.59	-6.15	41.70
8.61	-6.0	41.15
8.61	-6.0	41.15
8.61	-6.0	41.15
8.59	-6.21	42.25
8.59	-6.21	42.25
8.59	-6.27	41.31
8.65	-6.27	41.31
8.65	-6.27	41.31
8.64	-6.23	42.29
8.64	-6.23	42.29
8.64	-6.23	42.29
8.60	-6.16	41.44
8.60	-6.16	41.44
8.60	-6.16	41.29
8.54	-6.8	41.29
